Pais,Habitantes
China, 1379302784
Índia, 1281935872
Estados Unidos, 326625792
Indonésia, 260580736
Brasil, 207353392
Paquistão, 204924864
Nigéria, 190632256
Bangladeche, 157826576
Rússia, 142257520
Japão, 126451400
México, 124574792
Etiópia, 105350016
Filipinas, 104256080
Egipto, 97041072
Vietname, 96160160
Congo-Kinshasa, 83301152
Irão, 82021568
Turquia, 80845216
Alemanha, 80594016
Tailândia, 68414136
França, 67106160
Reino Unido, 64769452
Itália, 62137800
Birmânia, 55123816
África do Sul, 54841552
Tanzânia, 53950936
Coreia do Sul, 51181300
Espanha, 48958160
Colômbia, 47698524
Quénia, 47615740
Argentina, 44293292
Ucrânia, 44033872
Argélia, 40969444
Uganda, 39570124
Iraque, 39192112
Polónia, 38476268
Sudão, 37345936
Canadá, 35623680
Afeganistão, 34124812
Marrocos, 33986656
Malásia, 31381992
Venezuela, 31304016
Peru, 31036656
Usbequistão, 29748860
Nepal, 29384296
Angola, 29310272
Arábia Saudita, 28571770
Iémen, 28036828
Gana, 27499924
Moçambique, 26573706
Coreia do Norte, 25248140
Madagáscar, 25054160
Camarões, 24994884
Costa do Marfim, 24184810
Taiwan, 23508428
Austrália, 23232412
Sri Lanca, 22409380
Roménia, 21529968
Burquina Faso, 20107508
Níger, 19245344
Malávi, 19196246
Cazaquistão, 18556698
Síria, 18028548
Mali, 17885244
Chile, 17789268
Países Baixos, 17084720
Equador, 16290913
Camboja, 16204486
Zâmbia, 15972000
Guatemala, 15460732
Senegal, 14668522
Zimbabué, 13805084
Guiné, 12413867
Chade, 12075985
Ruanda, 11901484
Bélgica, 11491346
Burúndi, 11466756
Tunísia, 11403800
Cuba, 11147407
Bolívia, 11138234
Benim, 11038805
Somália, 11031386
Portugal, 10839514
Grécia, 10768477
República Dominicana, 10734247
República Checa, 10674723
Haiti, 10646714
Jordânia, 10248069
Azerbaijão, 9961396
Suécia, 9960487
Hungria, 9850845
Bielorrússia, 9549747
Honduras, 9038741
Áustria, 8754413
Tajiquistão, 8468555
Israel, 8299706
Suíça, 8236303
Togo, 7965055
Hong Kong, 7191503
Laos, 7126706
Sérvia, 7111024
Bulgária, 7101510
Paraguai, 6943739
Papua-Nova Guiné, 6909701
Líbia, 6653210
Líbano, 6229794
Salvador, 6172011
Serra Leoa, 6163195
Emiratos Árabes Unidos, 6072475
Nicarágua, 6025951
Eritreia, 5918919
Singapura, 5888926
Quirguizistão, 5789122
República Centro-Africana, 5625118
Dinamarca, 5605948
Finlândia, 5518371
Eslováquia, 5445829
Turquemenistão, 5351277
Noruega, 5320045
Irlanda, 5011102
Congo-Brazzaville, 4954674
Costa Rica, 4930258
Geórgia, 4926330
Libéria, 4689021
Nova Zelândia, 4510327
Croácia, 4292095
Bósnia e Herzegovina, 3856181
Mauritânia, 3758571
Panamá, 3753142
Moldávia, 3474121
Omã, 3424386
Uruguai, 3360148
Porto Rico, 3351827
Mongólia, 3068243
Albânia, 3047987
Arménia, 3045191
Jamaica, 2990561
Kuwait, 2875422
Lituânia, 2823859
Namíbia, 2484780
Catar, 2314307
Botsuana, 2214858
Macedónia, 2103721
Gâmbia, 2051363
Eslovénia, 1972126
Lesoto, 1958042
Letónia, 1944643
Guiné-Bissau, 1792338
Gabão, 1772255
Suazilândia, 1467152
Barém, 1410942
Maurícia, 1356388
Timor Leste, 1291358
Estónia, 1251581
Trindade e Tobago, 1218208
Fiji, 920938
Jibuti, 865267
Comores, 808080
Guiné Equatorial, 778358
Butão, 758288
Guiana, 737718
Ilhas Salomão, 647581
Montenegro, 642550
Sara Ocidental, 603253
Macau, 601969
Luxemburgo, 594130
Suriname, 591919
Cabo Verde, 560899
Brunei, 443593
Malta, 416338
Belize, 360346
Islândia, 339747
Baamas, 329988
Barbados, 292336
Vanuatu, 282814
Nova Caledónia, 279070
São Tomé e Príncipe, 201025
Samoa, 200108
Santa Lúcia, 164994
Granada, 111724
Quiribáti, 108145
Tonga, 106479
São Vicente e Granadinas, 102089
Antígua e Barbuda, 94731
Seicheles, 93920
Andorra, 76965
Domínica, 73897
Ilhas Caimão, 58441
Gronelândia, 57713
São Cristóvão e Neves, 52715
Listenstaine, 38244
São Marinho, 33537
Mónaco, 30645
Palau, 21431
Nauru, 11359
Tuvalu, 11052
Ilhas Falkland, 3198
Vaticano, 1000